,code,label,subcategory,feedback,space,sentiment_score,sentiment tag,Human eva
10396,cs,Care received,Advice and support,"Before I started the 123 magic and sleep course I felt like I had hit rock bottom. Being a single parent to two children I really felt I struggled with my son's behaviours. Every time he was at nursery I was getting 4-5 phone calls about him, I was told if his behaviours continued he wouldn't be allowed to return.  
This made me feel very upset. The 123 magic was an amazing course and very interesting Lorraine made the course very easy to follow. By the end of the course the the phone calls stopped from nursery and my son even got a certificate for good behaviour! I feel very confident with doing the 123 magic in public and I can now take both my children out on days out, which I couldn't do before. I am so grateful for to Lorraine for everything she has done. I now have a happy home and happy children.",156,0.9749,pos,pos
10955,cl,Care received,Made A Difference To My Life,"Coming to Arnold Lodge has changed my life. I have just come from High Secure Services and now I've never come across such a caring and considerate group of people. I have learned so much about myself and other people. I have progressed in such a was I have been granted leave to the shops and I'm allowed to have access to my room.  
The staff are fantastic and they try to put their up most for the patients who struggle and are finding things hard. When I struggled I found the help from those who I got attached to. When I found the help, my harm to myself decreased as I was able to be articulate around my struggles and now I'm residing in a placement where I'm receiving great support and the right treatment. Treatment is good because I can learn about why things happen and I wouldn't change a thing for any of the staff. There a fantastic group of the team. The MDT are helpful and are supportive in many ways. I feel safe here, and staff are protective.",183,0.9806,pos,pos
11661,xf,Miscellaneous,Funding,I am on Adwick ward. It would be good if we could get some funding for our garden. We got one grow bag 2 years ago and we grew a tomato plant that’s it! ! ! ! ! it is still there one bag and a dead plant. . we had plans for our sense of community project. why can you not help us and get a bit of funding for some new plants and veg.,75,-0.7028,neg,neg
4108,xn,Couldn't be improved,Nothing to improve,NothIng dIfferent.  EverythIng was excellent.,5,0.5719,pos,pos
10733,ss,Staff,Staff: General,"Attended with my 8 year old son for a tooth extraction. The chair was broken so we couldn't use laughing gas as planned BUT Hannah K and Charlotte T were AMAZING. Provided my son with lots of advice for treatment options and when he chose to proceed without gas, gave lots of reassurance so he was super comfortable and relaxed - an excellent experience (in the circumstances!! :)  
Thanks you!",70,0.9905,pos,pos
768,xn,Couldn't be improved,Nothing to improve,I think we go what we needed from the service at the time. ,13,0,neu,neu
11840,cs,Care received,Advice and support,Very helpful and constructive sessions. Just the right amount of time. My child learned a lot and loved the group and looked forward to going.,24,0.7902,pos,pos
3768,ss,Staff,Staff: General,"I’ve been satIsfIed wIth my stay, looked after well by all staff.
The food is very good.",15,0.796,pos,pos
7103,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
9489,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
685,cm,Care received,Medication ,I have struggled a few times in receiving my prescription on time leaving me having med withdrawal but other than that my Dr was amazing.,24,0.6757,pos,neg
7349,sa,Staff,Attitude Of Staff,Staff are very helpful,3,0.4754,pos,pos
10723,cr,Care received,Rules/approach to care,"Came back to surestart after a few weeks off and my daughter struggled to play in a group of children, I attended Crawlers and Cruisers and completed a few weeks on toddler brain development and managing toddler tantrums.  
My daughter, came on so well, in just a few weeks she can play alongside others and is much more confident now . It was hard work and I needed to practice the strategies at home too. It was really worth it to see the change.",84,0.7862,pos,pos
1129,ml,Communication,Listening,"I feel I am listened to and my mental health cared for, I have one person checking me in fortnightly clinics.  I like my consultant and know that I am trusted by him to lead my own care. ",39,0.891,pos,pos
11878,cs,Care received,Advice and support,"I cannot thank Sandra enough at the 1-1 family support outreach for all the support she has given me and my family.  
We put action plans in place and addressed them quickly and they took effect quicker than expected. Sandra supported me and treated me with lots of respect.  
One thing I am proud of is we made my biggest target to get my son to try at least one different food.",73,0.9168,pos,pos
1820,cc,Care received,Care received,"Helped with breathing.
Excellent patient care.",4,0.7845,pos,pos
10044,cc,Care received,Care received,Service was very good.,3,0.4927,pos,pos
9351,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
10929,wa,Access,Time spent waiting for first appt/referral/service,"I've suffering from quite severe anxiety and depression and attended an assessment with my local mental health service In April- the outcome was that I'd be referred to Step 4 Nottingham Psychotherapy Unit. I'm still waiting for contact from them & when I've called them today, I was told to go back to my local mental health team. Not sure why or what's happening - they've already made the referral. I just want some help & support - I've been waiting for months.  
[Unsure about 'Keeping in touch']",88,-0.7866,neg,neg
5817,sp,Staff,Professionalism/Competence Of Staff,XXXX has been professional and given great advice.,7,0.6249,pos,pos
3177,cs,Care received,Advice and support,Fabulous help and support.  Put me at ease and treated me wIth dIgnIty.,13,0.9186,pos,pos
9420,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
3394,cc,Care received,Care received,Had excellent care.,2,0.7845,pos,pos
11753,sa,Staff,Attitude Of Staff,I find the course useful and in a relaxed environment. &nbsp; The staff are really helpful in ensuring that we understand and are always happy to answer any questions. &nbsp; The course is also a nice way to socialise with our babies.,41,0.9521,pos,pos
486,xn,Couldn't be improved,Nothing to improve,"In my opinion, nothing.",3,0,neu,neu
8081,ss,Staff,Staff: General,Because they were brilliant,3,0.5859,pos,pos
2454,sp,Staff,Professionalism/Competence Of Staff,My therapist was Catherine. I can't speak highly enough of the care and effort she put into helping me. Catherine has supported me identifying needs and finding the right support. I'm so grateful for all the help she's given me. Thank you. X,42,0.9509,pos,pos
1543,sa,Staff,Attitude Of Staff,Staff were polite - attentive.  Staff were trustworthy. ,9,0.5574,pos,pos
11912,ss,Staff,Staff: General,"In general staff have been courteous to find out the way of righteousness which is in us all. However, it is a long game as individually are on different levels with their beliefs. Staff can be a bit handsy at times, as we are all learning what is right and what is wrong. I think that everyone needs to be a little more spiritually, connected in order for vast improvements. Other then that, staff have been very helpful providing a very high standard of care to patients suffering with mental health.",90,0.6901,pos,neu
3959,cc,Care received,Care received,My daughter has received excellent care and kindness at a vulnerable time in her life.  It feels like a safe environment where patients can talk with complete confidentiality.,28,0.9246,pos,pos
12117,sp,Staff,Professionalism/Competence Of Staff,"I have been hearing from others about the support they have received during lock down. Obviously no one has received any face to face support, but lots of people have received telephone and online support. &nbsp; I am frustrated that the CAMHS service who are supporting my son, &nbsp; Nottinghamshire NHS Foundation Trust have not provided anything at all. &nbsp; There has been no telephone support, no offer of online support and we can't even access the CAMHS service to collect prescriptions, they have to post them which takes for ever. &nbsp; &nbsp; I understand that after three months of lockdown Nottinghamshire NHS Foundation Trust CAMHS are starting to experiment with Microsoft Teams for the delivery of assessment and treatment. &nbsp; The thing I can't get my head around is why it has taken three months for this to happen. &nbsp; Once lockdown happened, everything moved online very quickly, hospital, services, etc so why has it taken an NHS trust three months to get its act together and what does that say about the importance it places on supporting vulnerable children and their families?",183,0.9788,pos,neg
7618,ss,Staff,Staff: General,The staff have been lovely really kind to me.,8,0.8173,pos,pos
3406,cc,Care received,Care received,"Happy wIth all care receIved, lovely atmosphere.  Staff really nIce & welcomIng - mum & sIster happy I came here.",20,0.9669,pos,pos
6398,cc,Care received,Care received,Everything great,1,0.6249,pos,pos
11269,cs,Care received,Advice and support,The sleep support has been a massive help to our family and made bedtime a positive experience. Everyone is much happier and more relaxed as we aren't getting stressed at bedtime and are getting our bed back.,36,0.9511,pos,pos
9855,xn,Couldn't be improved,Nothing to improve,"Nothing, all well.",2,-0.2057,neg,pos
9575,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
9262,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
2829,ss,Staff,Staff: General,Because the team and staff members have been excellent.  WIsh me well when I have had appoIntments wIth them.,19,0.8176,pos,pos
8428,cc,Care received,Care received,"Happy with everything, although have been here a week and none of my family can visit, bit strict if you ask me.",21,0.5719,pos,neu
7450,ss,Staff,Staff: General,"Staff were excellent and attentive, it would have been helpful if consultants / doctors would have been more communicative as information developed.",21,0.7579,pos,pos
5936,sa,Staff,Attitude Of Staff,* is #hilarious. All nurses were lovely and nothing is ever too much trouble.,13,0.2732,pos,pos
6152,sa,Staff,Attitude Of Staff,Because of cheerful and attentive attention by all,7,0.5423,pos,pos
8087,mm,Communication,Communication,Better explanation of how to provide feedback.,6,0.4404,pos,pos
8687,ef,Environment/ facilities,Food,Meals should be served hot.,4,0,neu,neg
6663,cc,Care received,Care received,"Great care , efficient nurse.",4,0.8779,pos,pos
1963,cc,Care received,Care received,Quick and painless.,2,0.296,pos,pos
5587,sp,Staff,Professionalism/Competence Of Staff,"Very informative, calm, polite and pleasant, easy and nice to talk to.  Good at her job.
No improvement as I could not find fault.",23,0.948,pos,pos
4797,cc,Care received,Care received,"Some past experiences, although we have had some good-XXXX is great and XXXX seemed understanding too.",15,0.6249,pos,pos
5880,ss,Staff,Staff: General,XXXX was so helpful!!!  I am in such daily pain and she sounded so positive.,15,0.7788,pos,pos
5039,cc,Care received,Care received,"The kindness, care and attention I have required from your team has been excellent.  Had of been royalty and would not have had better care. Many thanks.",27,0.9273,pos,pos
1761,xn,Couldn't be improved,Nothing to improve,I can't think of anything good about my whole experience. It isn't worth the hassle dealing with such an incompetent team who make you feel worse. Never again!,27,-0.6437,neg,neg
5611,cc,Care received,Care received,Very nice.,1,0.4754,pos,pos
7365,sa,Staff,Attitude Of Staff,Staff friendly polite and efficient,4,0.7184,pos,pos
9359,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
4547,cc,Care received,Care received,Over all care on the ward has been excellent. All staff members were helpful and cheerful.,15,0.9217,pos,pos
