,0
0,0
1,0
2,1
3,1
4,1
5,2
6,1
7,1
8,0
9,0
10,2
11,9
12,1
13,3
14,3
15,1
16,1
17,1
18,2
19,0
20,3
21,2
22,2
23,1
24,1
25,0
26,1
27,1
28,0
29,2
30,1
31,6
32,6
33,1
34,1
35,1
36,0
37,2
38,0
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,2
49,3
50,2
51,1
52,1
53,0
54,8
55,3
56,3
57,2
58,0
59,0
60,0
61,0
62,2
63,2
64,2
65,3
66,0
67,2
68,2
69,4
70,1
71,0
72,1
73,2
74,1
75,2
76,1
77,2
78,1
79,2
80,2
81,0
82,1
83,0
84,0
85,2
86,0
87,2
88,2
89,2
90,1
91,2
92,2
93,4
94,2
95,1
96,4
97,2
98,3
99,2
100,1
101,2
102,8
103,3
104,3
105,3
106,1
107,3
108,1
109,1
110,1
111,1
112,4
113,3
114,0
115,1
116,3
117,2
118,1
119,4
120,5
121,0
122,3
123,2
124,0
125,2
126,2
127,1
128,2
129,2
130,0
131,1
132,2
133,2
134,1
135,2
136,2
137,0
138,2
139,1
140,1
141,3
142,3
143,2
144,2
145,2
146,2
147,0
148,0
149,1
150,2
151,3
152,2
153,1
154,1
155,3
156,2
157,0
158,1
159,4
160,0
161,2
162,2
163,1
164,1
165,0
166,0
167,1
168,1
169,2
170,2
171,2
172,2
173,1
174,1
175,1
176,3
177,5
178,1
179,8
180,3
181,0
182,2
183,2
184,2
185,1
186,3
187,3
188,1
189,4
190,1
191,2
192,3
193,5
194,8
195,2
196,2
197,1
198,1
199,2
200,0
201,1
202,1
203,1
204,1
205,3
206,1
207,2
208,2
209,2
210,2
211,0
212,3
213,2
214,0
215,2
216,2
217,1
218,1
219,1
220,1
221,2
222,2
223,2
224,1
225,1
226,2
227,4
228,3
229,5
230,1
231,2
232,2
233,1
234,2
235,0
236,9
237,1
238,3
239,1
240,1
241,2
242,0
243,0
244,2
245,0
246,1
247,2
248,1
249,1
250,2
251,3
252,1
253,4
254,1
255,5
256,2
257,1
258,2
259,5
260,2
261,0
262,8
263,0
264,3
265,2
266,5
267,4
268,2
269,3
270,1
271,1
272,2
273,0
274,0
275,3
276,1
277,2
278,1
279,0
280,2
281,1
282,0
283,0
284,2
285,2
286,2
287,2
288,0
289,4
290,2
291,7
292,2
293,3
294,1
295,4
296,4
297,2
298,4
299,4
300,2
301,0
302,1
303,2
304,2
305,1
306,4
307,3
308,3
309,4
310,1
311,2
312,1
313,2
314,1
315,4
316,2
317,4
318,5
319,1
320,1
321,2
322,2
323,1
324,3
325,0
326,2
327,2
328,2
329,5
330,1
331,1
332,2
333,3
334,1
335,3
336,1
337,6
338,1
339,4
340,2
341,2
342,1
343,1
344,2
345,2
346,2
347,1
348,1
349,2
350,1
351,5
352,1
353,4
354,0
355,3
356,2
357,6
358,2
359,5
360,3
361,3
362,7
363,2
364,2
365,4
366,4
367,1
368,1
369,2
370,1
371,0
372,1
373,1
374,0
375,4
376,1
377,3
378,1
379,3
380,2
381,2
382,3
383,1
384,0
385,1
386,1
387,0
388,0
389,9
390,1
391,2
392,2
393,2
394,2
395,1
396,3
397,2
398,2
399,2
400,1
401,2
402,3
403,7
404,2
405,2
406,2
407,3
408,5
409,1
410,3
411,1
412,2
413,1
414,3
415,3
416,1
417,1
418,0
419,0
420,1
421,3
422,2
423,3
424,0
425,3
426,2
427,1
428,3
429,1
430,1
431,1
432,3
433,1
434,4
435,7
436,1
437,3
438,1
439,7
440,1
441,1
442,1
443,2
444,3
445,7
446,1
447,2
448,0
449,0
450,1
451,0
452,1
453,6
454,0
455,0
456,2
457,0
458,2
459,0
460,1
461,4
462,2
463,0
464,0
465,1
466,3
467,8
468,3
469,1
470,2
471,0
472,1
473,3
474,0
475,1
476,1
477,3
478,1
479,1
480,1
481,1
482,3
483,2
484,4
485,0
486,3
487,2
488,0
489,0
490,1
491,2
492,6
493,3
494,2
495,3
496,2
497,1
498,1
499,1
500,1
501,1
502,2
503,1
504,1
505,3
506,1
507,1
508,0
509,4
510,2
511,1
512,3
513,2
514,3
515,1
516,3
517,0
518,3
519,0
520,5
521,2
522,4
523,4
524,0
525,4
526,1
527,1
528,0
529,1
530,3
531,2
532,0
